sludinajuma_saite,bilde,marka,gads,tilpums,nobraukums,cena
/msg/lv/transport/cars/audi/a6/benoef.html,https://i.ss.lv/gallery/7/1323/330621/66124058.th2.jpg,"['Audi', <br/>, 'A6']",['2012'],['2.0D'],['-'],"['11,500  €']"
/msg/lv/transport/cars/volkswagen/sharan/cligg.html,https://i.ss.lv/gallery/7/1309/327246/65449092.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2007'],['2.0D'],['295 tūkst.'],"['3,650  €']"
/msg/lv/transport/cars/volvo/v70/bikjhc.html,https://i.ss.lv/gallery/7/1311/327741/65548053.th2.jpg,"['Volvo', <br/>, 'V70']",['2008'],['2.4D'],['304 tūkst.'],"['3,350  €']"
/msg/lv/transport/cars/audi/a6/blcjii.html,https://i.ss.lv/gallery/7/1315/328707/65741236.th2.jpg,"['Audi', <br/>, 'A6']",['2011'],['2.7D'],['-'],"['5,590  €']"
/msg/lv/transport/cars/volkswagen/passat-b6/bhofkd.html,https://i.ss.lv/gallery/7/1323/330629/66125698.th2.jpg,"['Volkswagen', <br/>, 'Passat (B6)']",['2006'],['2.0D'],['388 tūkst.'],"['1,190  €']"
/msg/lv/transport/cars/peugeot/5008/cbplfi.html,https://i.ss.lv/gallery/7/1207/301667/60333335.th2.jpg,"['Peugeot', <br/>, '5008']",['2021'],['1.6D'],['57 tūkst.'],"['21,990  €']"
/msg/lv/transport/cars/volvo/v60/blphfm.html,https://i.ss.lv/gallery/7/1286/321316/64263134.th2.jpg,"['Volvo', <br/>, 'V60']",['2018'],['2.0D'],['-'],"['11,999  €']"
/msg/lv/transport/cars/ford/escort/akllk.html,https://i.ss.lv/gallery/7/1323/330628/66125559.th2.jpg,"['Ford', <br/>, 'Escort']",['2005'],['1.6'],['182 tūkst.'],['900  €']
/msg/lv/transport/cars/volvo/xc90/beixhe.html,https://i.ss.lv/gallery/7/1279/319651/63930133.th2.jpg,"['Volvo', <br/>, 'XC 90']",['2007'],['2.4D'],['-'],"['8,999  €']"
/msg/lv/transport/cars/peugeot/5008/ccgdcn.html,https://i.ss.lv/gallery/7/1299/324543/64908456.th2.jpg,"['Peugeot', <br/>, '5008']",['2018'],['1.4'],['-'],"['13,999  €']"
/msg/lv/transport/cars/land-rover/range-rover-evoque/cbmioe.html,https://i.ss.lv/gallery/7/1299/324535/64906987.th2.jpg,"['Land Rover', <br/>, 'Range Rover Evoque']",['2020'],['2.0D'],['-'],"['21,500  €']"
/msg/lv/transport/cars/nissan/qashqai/cddokf.html,https://i.ss.lv/gallery/7/1322/330315/66062980.th2.jpg,"['Nissan', <br/>, 'Qashqai']",['2018'],['1.6'],['-'],"['15,999  €']"
/msg/lv/transport/cars/bmw/530/bedcfh.html,https://i.ss.lv/gallery/7/1305/326192/65238246.th2.jpg,"['Bmw', <br/>, '530']",['2011'],['3.0D'],['-'],"['9,990  €']"
/msg/lv/transport/cars/bmw/320/cdklxk.html,https://i.ss.lv/gallery/7/1323/330629/66125677.th2.jpg,"['Bmw', <br/>, '320']",['2014'],['2.0D'],['218 tūkst.'],"['9,700  €']"
/msg/lv/transport/cars/volvo/v70/aafkx.html,https://i.ss.lv/gallery/7/1317/329199/65839631.th2.jpg,"['Volvo', <br/>, 'V70']",['2005'],['2.4D'],['399 tūkst.'],"['2,180  €']"
/msg/lv/transport/cars/nissan/leaf/cbjkhk.html,https://i.ss.lv/gallery/7/1323/330626/66125014.th2.jpg,"['Nissan', <br/>, 'Leaf']",['2021'],"[<span style=""color:#06c;"">E</span>]",['43 tūkst.'],"['16,890  €']"
/msg/lv/transport/cars/skoda/enyaq-iv/cbkgee.html,https://i.ss.lv/gallery/7/1323/330629/66125619.th2.jpg,"['Skoda', <br/>, 'Enyaq iV']",['2023'],"[<span style=""color:#06c;"">E</span>]",['15 tūkst.'],"['51,500  €']"
/msg/lv/transport/cars/volvo/v70/cefdkl.html,https://i.ss.lv/gallery/7/1323/330624/66124684.th2.jpg,"['Volvo', <br/>, 'V70']",['2014'],['2.0D'],['319 tūkst.'],"['6,500  €']"
/msg/lv/transport/cars/audi/q3/cbbbmf.html,https://i.ss.lv/gallery/7/1323/330628/66125588.th2.jpg,"['Audi', <br/>, 'Q3']",['2012'],['2.0D'],['214 tūkst.'],"['12,800  €']"
/msg/lv/transport/cars/ford/transit/bmxdk.html,https://i.ss.lv/gallery/7/1291/322687/64537326.th2.jpg,"['Ford', <br/>, 'Transit']",['2014'],['2.2D'],['330 tūkst.'],"['10,499  €']"
/msg/lv/transport/cars/volkswagen/crafter/cebibh.html,https://i.ss.lv/gallery/7/1323/330628/66125525.th2.jpg,[<b>Volkswagen<br/>Crafter</b>],[<b>2016</b>],[<b>2.0D</b>],"[<b>286</b>, ' tūkst.']","[<b>10,890</b>, '  €']"
/msg/lv/transport/cars/honda/civic/ifjxd.html,https://i.ss.lv/gallery/7/1323/330628/66125498.th2.jpg,"['Honda', <br/>, 'Civic']",['2006'],['1.8'],['-'],"['1,990  €']"
/msg/lv/transport/cars/porsche/cayenne/cckjxn.html,https://i.ss.lv/gallery/7/1323/330628/66125474.th2.jpg,"['Porsche', <br/>, 'Cayenne']",['2013'],['3.0D'],['180 tūkst.'],"['21,400  €']"
/msg/lv/transport/cars/alfa-romeo/stelvio/cxocdp.html,https://i.ss.lv/gallery/7/1295/323537/64707268.th2.jpg,"['Alfa romeo', <br/>, 'Stelvio']",['2019'],['2.0'],['-'],"['22,495  €']"
/msg/lv/transport/cars/volkswagen/caddy/ccfkfj.html,https://i.ss.lv/gallery/7/1293/323098/64619450.th2.jpg,"['Volkswagen', <br/>, 'Caddy']",['2024'],['2.0D'],['700'],"['30,980  €']"
/msg/lv/transport/cars/mazda/mazda6/enkmp.html,https://i.ss.lv/gallery/7/1321/330193/66038565.th2.jpg,"['Mazda', <br/>, 'Mazda6']",['2007'],['2.0D'],['310 tūkst.'],['500  €']
/msg/lv/transport/cars/volvo/xc90/cclkgi.html,https://i.ss.lv/gallery/7/1312/327828/65565513.th2.jpg,"['Volvo', <br/>, 'XC 90']",['2016'],['2.0D'],['-'],"['22,600  €']"
/msg/lv/transport/cars/skoda/roomster/cxxdeg.html,https://i.ss.lv/gallery/7/1318/329383/65876565.th2.jpg,"['Skoda', <br/>, 'Roomster']",['2008'],['1.9D'],['338 tūkst.'],"['1,100  €']"
/msg/lv/transport/cars/bmw/320/eebph.html,https://i.ss.lv/gallery/7/1297/324195/64838836.th2.jpg,"['Bmw', <br/>, '320']",['1998'],['2.0'],['-'],"['3,400  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cfgjde.html,https://i.ss.lv/gallery/7/1278/319433/63886563.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2024'],['2.0D'],['5 tūkst.'],"['49,990  €']"
/msg/lv/transport/cars/bmw/316/fndcc.html,https://i.ss.lv/gallery/7/1297/324196/64839016.th2.jpg,"['Bmw', <br/>, '316']",['2002'],['1.8'],['-'],"['2,600  €']"
/msg/lv/transport/cars/bmw/x1/cckmjo.html,https://i.ss.lv/gallery/7/1303/325690/65137897.th2.jpg,"['Bmw', <br/>, 'X1']",['2012'],['1.9D'],['183 tūkst.'],"['10,800  €']"
/msg/lv/transport/cars/mitsubishi/evolution/gncmk.html,https://i.ss.lv/gallery/7/1316/328771/65754030.th2.jpg,"['Mitsubishi', <br/>, 'Lancer Evolution']",['2008'],['2.0'],['244 tūkst.'],"['21,900  €']"
/msg/lv/transport/cars/volkswagen/golf-6/bgonhl.html,https://i.ss.lv/gallery/7/1311/327504/65500722.th2.jpg,"['Volkswagen', <br/>, 'Golf 6']",['2011'],['1.4'],['382 tūkst.'],"['2,350  €']"
/msg/lv/transport/cars/seat/ibiza/mgdld.html,https://i.ss.lv/gallery/7/1296/323837/64767391.th2.jpg,"['Seat', <br/>, 'Ibiza']",['2007'],['1.4'],['-'],"['1,700  €']"
/msg/lv/transport/cars/volkswagen/crafter/ccdnxk.html,https://i.ss.lv/gallery/7/1279/319573/63914584.th2.jpg,"['Volkswagen', <br/>, 'Crafter']",['2024'],['2.0D'],['12'],"['46,950  €']"
/msg/lv/transport/cars/hyundai/another/cexxbl.html,https://i.ss.lv/gallery/7/1323/330627/66125394.th2.jpg,"['Hyundai', <br/>, 'Citi']",['2021'],['1.0'],['49 tūkst.'],"['15,990  €']"
/msg/lv/transport/cars/volkswagen/polo/nihcg.html,https://i.ss.lv/gallery/7/1299/324660/64931823.th2.jpg,"['Volkswagen', <br/>, 'Polo']",['2009'],['1.2'],['-'],"['4,000  €']"
/msg/lv/transport/cars/audi/q5/cdcppn.html,https://i.ss.lv/gallery/7/1313/328046/65609062.th2.jpg,"['Audi', <br/>, 'Q5']",['2017'],['2.0D'],['184 tūkst.'],"['23,900  €']"
/msg/lv/transport/cars/honda/cr-v/ceffdo.html,https://i.ss.lv/gallery/7/1323/330627/66125355.th2.jpg,[<b>Honda<br/>Cr-v</b>],[<b>2007</b>],[<b>2.2D</b>],"[<b>335</b>, ' tūkst.']","[<b>2,500</b>, '  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cdfcel.html,https://i.ss.lv/gallery/7/1313/328049/65609692.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2020'],['2.0D'],['161 tūkst.'],"['23,400  €']"
/msg/lv/transport/cars/volkswagen/passat-alltrack/ccnngj.html,https://i.ss.lv/gallery/7/1318/329475/65894946.th2.jpg,"['Volkswagen', <br/>, 'Passat Alltrack']",['2016'],['2.0D'],['242 tūkst.'],"['15,950  €']"
/msg/lv/transport/cars/volvo/xc90/bikjkn.html,https://i.ss.lv/gallery/7/1283/320555/64110973.th2.jpg,"['Volvo', <br/>, 'XC 90']",['2018'],['2.0D'],['135 tūkst.'],"['32,850  €']"
/msg/lv/transport/cars/volkswagen/t-cross/cfihbb.html,https://i.ss.lv/gallery/7/1287/321572/64314244.th2.jpg,"['Volkswagen', <br/>, 'T-Cross']",['2022'],['1.0'],['69 tūkst.'],"['13,950  €']"
/msg/lv/transport/cars/audi/a6/cfemmc.html,https://i.ss.lv/gallery/7/1317/329030/65805923.th2.jpg,"['Audi', <br/>, 'A6']",['2003'],['2.5D'],['322 tūkst.'],"['2,495  €']"
/msg/lv/transport/cars/toyota/land-cruiser/bhlnn.html,https://i.ss.lv/gallery/7/1316/328960/65791875.th2.jpg,"['Toyota', <br/>, 'Land Cruiser']",['2006'],['3.0D'],['371 tūkst.'],"['7,995  €']"
/msg/lv/transport/cars/volvo/v70/cecbmp.html,https://i.ss.lv/gallery/7/1323/330619/66123711.th2.jpg,"['Volvo', <br/>, 'V70']",['2012'],['2.0D'],['330 tūkst.'],"['6,000  €']"
/msg/lv/transport/cars/volkswagen/arteon/cffpgg.html,https://i.ss.lv/gallery/7/1276/318818/63763561.th2.jpg,"['Volkswagen', <br/>, 'Arteon']",['2018'],['2.0D'],['96 tūkst.'],"['24,900  €']"
/msg/lv/transport/cars/bmw/x5/biefmm.html,https://i.ss.lv/gallery/7/1312/327958/65591554.th2.jpg,"['Bmw', <br/>, 'X5']",['2008'],['3.0D'],['334 tūkst.'],"['8,600  €']"
/msg/lv/transport/cars/volkswagen/arteon/cxbjxh.html,https://i.ss.lv/gallery/7/1289/322105/64420805.th2.jpg,"['Volkswagen', <br/>, 'Arteon']",['2018'],['2.0D'],['104 tūkst.'],"['23,500  €']"
/msg/lv/transport/cars/volkswagen/arteon/bpmdkp.html,https://i.ss.lv/gallery/7/1302/325301/65060198.th2.jpg,"['Volkswagen', <br/>, 'Arteon']",['2021'],['1.4'],['112 tūkst.'],"['28,500  €']"
/msg/lv/transport/cars/volkswagen/new-beetle/gfpho.html,https://i.ss.lv/gallery/7/1299/324661/64932071.th2.jpg,"['Volkswagen', <br/>, 'Beetle']",['2004'],['1.6'],['-'],"['3,500  €']"
/msg/lv/transport/cars/opel/antara/cexhgi.html,https://i.ss.lv/gallery/7/1321/330209/66041765.th2.jpg,"['Opel', <br/>, 'Antara']",['2014'],['2.2D'],['179 tūkst.'],"['6,195  €']"
/msg/lv/transport/cars/volkswagen/sharan/bdxclm.html,https://i.ss.lv/gallery/7/1316/328983/65796586.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2017'],['2.0D'],['180 tūkst.'],"['18,000  €']"
/msg/lv/transport/cars/audi/a6/flejm.html,https://i.ss.lv/gallery/7/1298/324373/64874497.th2.jpg,"['Audi', <br/>, 'A6']",['2005'],['3.0D'],['353 tūkst.'],"['3,295  €']"
/msg/lv/transport/cars/volkswagen/sharan/hdgmd.html,https://i.ss.lv/gallery/7/1312/327961/65592173.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2017'],['2.0D'],['192 tūkst.'],"['19,550  €']"
/msg/lv/transport/cars/volkswagen/sharan/aoxgh.html,https://i.ss.lv/gallery/7/1308/326905/65380867.th2.jpg,"['Volkswagen', <br/>, 'Sharan']",['2017'],['2.0D'],['162 tūkst.'],"['21,700  €']"
/msg/lv/transport/cars/fiat/tipo/ggomp.html,https://i.ss.lv/gallery/7/1318/329369/65873770.th2.jpg,[<b>Fiat<br/>Tipo</b>],[<b>2022</b>],[<b>1.0</b>],"[<b>58</b>, ' tūkst.']","[<b>12,700</b>, '  €']"
/msg/lv/transport/cars/volkswagen/passat-b8/cdiiib.html,https://i.ss.lv/gallery/7/1313/328200/65639813.th2.jpg,"['Volkswagen', <br/>, 'Passat (B8)']",['2021'],['2.0'],['106 tūkst.'],"['24,450  €']"
/msg/lv/transport/cars/lexus/is/cebxph.html,https://i.ss.lv/gallery/7/1247/311703/62340426.th2.jpg,"['Lexus', <br/>, 'IS']",['2015'],['2.5'],['185 tūkst.'],"['12,850  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cdcopp.html,https://i.ss.lv/gallery/7/1319/329606/65921187.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2023'],['1.5'],['29 tūkst.'],"['32,850  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cdmdic.html,https://i.ss.lv/gallery/7/1319/329606/65921157.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2022'],['1.5'],['45 tūkst.'],"['29,050  €']"
/msg/lv/transport/cars/volkswagen/tiguan/cchmjd.html,https://i.ss.lv/gallery/7/1321/330118/66023430.th2.jpg,"['Volkswagen', <br/>, 'Tiguan']",['2019'],['2.0D'],['271 tūkst.'],"['12,850  €']"
/msg/lv/transport/cars/electric-cars/bmjbmb.html,https://i.ss.lv/gallery/7/1312/327751/65550149.th2.jpg,['Volkswagen'],['2023'],"[<span style=""color:#06c;"">E</span>]",['37 tūkst.'],"['39,900  €']"
/msg/lv/transport/cars/electric-cars/cchmob.html,https://i.ss.lv/gallery/7/1300/324779/64955785.th2.jpg,['Volkswagen'],['2020'],"[<span style=""color:#06c;"">E</span>]",['53 tūkst.'],"['23,800  €']"
